Ticker,Quandl_Code,Name,Exchange,Last Trade Date
A,EOD/A,Agilent Technologies Inc.,NYSE,22-05-20
AA,EOD/AA,Alcoa Corporation,NYSE,22-05-20
AAAU,EOD/AAAU,Perth Mint Physical Gold,NYSE Arca,22-05-20
AACG,EOD/AACG,ATA Creativity Global,NASDAQ,22-05-20
AADR,EOD/AADR,AdvisorShares Dorsey Wright ADR,NYSE Arca,22-05-20
AAL,EOD/AAL,American Airlines Group Inc.,NASDAQ,22-05-20
AAMC,EOD/AAMC,Altisource Asset Management Corp Com,NYSE MKT,22-05-20
AAME,EOD/AAME,Atlantic American Corporation,NASDAQ,22-05-20
AAN,EOD/AAN,Aaron's Inc.,NYSE,22-05-20
AAOI,EOD/AAOI,Applied Optoelectronics Inc.,NASDAQ,22-05-20
AAON,EOD/AAON,AAON Inc.,NASDAQ,22-05-20
AAP,EOD/AAP,Advance Auto Parts Inc W/I,NYSE,22-05-20
AAPL,EOD/AAPL,Apple Inc.,NASDAQ,22-05-20
AAT,EOD/AAT,American Assets Trust Inc.,NYSE,22-05-20
AAU,EOD/AAU,Almaden Minerals Ltd.,NYSE MKT,22-05-20
AAWW,EOD/AAWW,Atlas Air Worldwide Holdings,NASDAQ,22-05-20
AAXJ,EOD/AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,22-05-20
AAXN,EOD/AAXN,Axon Enterprise Inc.,NASDAQ,22-05-20
AB,EOD/AB,AllianceBernstein Holding L.P. Units,NYSE,22-05-20
ABB,EOD/ABB,ABB Ltd,NYSE,22-05-20
ABBV,EOD/ABBV,AbbVie Inc.,NYSE,22-05-20
ABC,EOD/ABC,AmerisourceBergen Corporation,NYSE,22-05-20
ABCB,EOD/ABCB,Ameris Bancorp,NASDAQ,22-05-20
ABEO,EOD/ABEO,Abeona Therapeutics Inc.,NASDAQ,22-05-20
ABEQ,EOD/ABEQ,Unified Series Trust - Absolute Core Strategy ETF,NYSE Arca,22-05-20
ABEV,EOD/ABEV,Ambev S.A. American Depositary Shares (Each representing 1),NYSE,22-05-20
ABG,EOD/ABG,Asbury Automotive Group Inc,NYSE,22-05-20
ABIO,EOD/ABIO,ARCA biopharma Inc.,NASDAQ,22-05-20
ABM,EOD/ABM,ABM Industries Incorporated,NYSE,22-05-20
ABMD,EOD/ABMD,ABIOMED Inc.,NASDAQ,22-05-20
ABR,EOD/ABR,Arbor Realty Trust,NYSE,22-05-20
ABR.P.A,EOD/ABR_P_A,Arbor Realty Trust Preferred Series A,NYSE,22-05-20
ABR.P.B,EOD/ABR_P_B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,22-05-20
ABR.P.C,EOD/ABR_P_C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,22-05-20
ABT,EOD/ABT,Abbott Laboratories,NYSE,22-05-20
ABTX,EOD/ABTX,Allegiance Bancshares Inc.,NASDAQ,22-05-20
ABUS,EOD/ABUS,Arbutus Biopharma Corporation,NASDAQ,22-05-20
AC,EOD/AC,Associated Capital Group Inc.,NYSE,22-05-20
ACA,EOD/ACA,Arcosa Inc.,NYSE,22-05-20
ACAD,EOD/ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,22-05-20
ACAM,EOD/ACAM,Acamar Partners Acquisition Corp.,NASDAQ,21-05-20
ACAMU,EOD/ACAMU,Acamar Partners Acquisition Corp. Units,NASDAQ,22-05-20
ACAMW,EOD/ACAMW,Acamar Partners Acquisition Corp. Warrant,NASDAQ,22-05-20
ACB,EOD/ACB,Aurora Cannabis Inc.,NYSE,22-05-20
ACBI,EOD/ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,22-05-20
ACC,EOD/ACC,American Campus Communities Inc,NYSE,22-05-20
ACCO,EOD/ACCO,Acco Brands Corporation,NYSE,22-05-20
ACEL,EOD/ACEL,Accel Entertainment Inc.,NYSE,22-05-20
ACEL.WS,EOD/ACEL_WS,Accel Entertainment Inc. Warrants,NYSE,21-05-20
ACER,EOD/ACER,Acer Therapeutics Inc.,NASDAQ,22-05-20
ACGL,EOD/ACGL,Arch Capital Group Ltd.,NASDAQ,22-05-20
ACGLO,EOD/ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,22-05-20
ACGLP,EOD/ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ,22-05-20
ACH,EOD/ACH,Aluminum Corporation of China Limited American Depositary Shares,NYSE,22-05-20
ACHC,EOD/ACHC,Acadia Healthcare Company Inc.,NASDAQ,22-05-20
ACHV,EOD/ACHV,Achieve Life Sciences Inc.,NASDAQ,22-05-20
ACIA,EOD/ACIA,Acacia Communications Inc.,NASDAQ,22-05-20
ACIU,EOD/ACIU,AC Immune SA,NASDAQ,22-05-20
ACIW,EOD/ACIW,ACI Worldwide Inc.,NASDAQ,22-05-20
ACLS,EOD/ACLS,Axcelis Technologies Inc.,NASDAQ,22-05-20
ACM,EOD/ACM,AECOM,NYSE,22-05-20
ACMR,EOD/ACMR,ACM Research Inc.,NASDAQ,22-05-20
ACN,EOD/ACN,Accenture plc Class A (Ireland),NYSE,22-05-20
ACNB,EOD/ACNB,ACNB Corporation,NASDAQ,22-05-20
ACOR,EOD/ACOR,Acorda Therapeutics Inc.,NASDAQ,22-05-20
ACP,EOD/ACP,Aberdeen Income Credit Strategies Fund,NYSE,22-05-20
ACRE,EOD/ACRE,Ares Commercial Real Estate Corporation,NYSE,22-05-20
ACRS,EOD/ACRS,Aclaris Therapeutics Inc.,NASDAQ,22-05-20
ACRX,EOD/ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,22-05-20
ACSG,EOD/ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity,NYSE Arca,22-05-20
ACST,EOD/ACST,Acasti Pharma Inc.,NASDAQ,22-05-20
ACT,EOD/ACT,AdvisorShares Vice ETF,NASDAQ,22-05-20
ACTG,EOD/ACTG,Acacia Research Corporation,NASDAQ,22-05-20
ACTT,EOD/ACTT,Act II Global Acquisition Corp.,NASDAQ,22-05-20
ACTTU,EOD/ACTTU,Act II Global Acquisition Corp. Unit,NASDAQ,20-05-20
ACTTW,EOD/ACTTW,Act II Global Acquisition Corp. Warrant,NASDAQ,22-05-20
ACU,EOD/ACU,Acme United Corporation.,NYSE MKT,22-05-20
ACV,EOD/ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,NYSE,22-05-20
ACWF,EOD/ACWF,iShares Edge MSCI Multifactor Global,NYSE Arca,22-05-20
ACWI,EOD/ACWI,iShares MSCI ACWI Index Fund,NASDAQ,22-05-20
ACWX,EOD/ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,22-05-20
ACY,EOD/ACY,AeroCentury Corp.,NYSE MKT,22-05-20
ADAP,EOD/ADAP,Adaptimmune Therapeutics plc,NASDAQ,22-05-20
ADBE,EOD/ADBE,Adobe Inc.,NASDAQ,22-05-20
ADC,EOD/ADC,Agree Realty Corporation,NYSE,22-05-20
ADCT,EOD/ADCT,ADC Therapeutics SA,NYSE,22-05-20
ADES,EOD/ADES,Advanced Emissions Solutions Inc.,NASDAQ,22-05-20
ADI,EOD/ADI,Analog Devices Inc.,NASDAQ,22-05-20
ADIL,EOD/ADIL,Adial Pharmaceuticals Inc,NASDAQ,22-05-20
ADILW,EOD/ADILW,Adial Pharmaceuticals Inc Warrant,NASDAQ,22-05-20
ADM,EOD/ADM,Archer-Daniels-Midland Company,NYSE,22-05-20
ADMA,EOD/ADMA,ADMA Biologics Inc,NASDAQ,22-05-20
ADMP,EOD/ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,22-05-20
ADMS,EOD/ADMS,Adamas Pharmaceuticals Inc.,NASDAQ,22-05-20
ADNT,EOD/ADNT,Adient plc,NYSE,22-05-20
ADP,EOD/ADP,Automatic Data Processing Inc.,NASDAQ,22-05-20
ADPT,EOD/ADPT,Adaptive Biotechnologies Corporation,NASDAQ,22-05-20
ADRE,EOD/ADRE,BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,22-05-20
ADRO,EOD/ADRO,Aduro Biotech Inc.,NASDAQ,22-05-20
ADS,EOD/ADS,Alliance Data Systems Corporation,NYSE,22-05-20
ADSK,EOD/ADSK,Autodesk Inc.,NASDAQ,22-05-20
ADSW,EOD/ADSW,Advanced Disposal Services Inc.,NYSE,22-05-20
ADT,EOD/ADT,ADT Inc.,NYSE,22-05-20
ADTN,EOD/ADTN,ADTRAN Inc.,NASDAQ,22-05-20
ADUS,EOD/ADUS,Addus HomeCare Corporation,NASDAQ,22-05-20
ADVM,EOD/ADVM,Adverum Biotechnologies Inc.,NASDAQ,22-05-20
ADX,EOD/ADX,Adams Diversified Equity Fund Inc.,NYSE,22-05-20
ADXN,EOD/ADXN,Addex Therapeutics Ltd,NASDAQ,21-05-20
ADXS,EOD/ADXS,Advaxis Inc.,NASDAQ,22-05-20
AE,EOD/AE,Adams Resources & Energy Inc.,NYSE MKT,22-05-20
AEB,EOD/AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),NYSE,22-05-20
AEE,EOD/AEE,Ameren Corporation,NYSE,22-05-20
AEF,EOD/AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,NYSE MKT,22-05-20
AEFC,EOD/AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,22-05-20
AEG,EOD/AEG,AEGON N.V.,NYSE,22-05-20
AEGN,EOD/AEGN,Aegion Corp,NASDAQ,22-05-20
AEHR,EOD/AEHR,Aehr Test Systems,NASDAQ,22-05-20
AEIS,EOD/AEIS,Advanced Energy Industries Inc.,NASDAQ,22-05-20
AEL,EOD/AEL,American Equity Investment Life Holding Company,NYSE,22-05-20
AEL.P.A,EOD/AEL_P_A,American Equity Investment Life Holding Company Depositary Shares Series A,NYSE,22-05-20
AEM,EOD/AEM,Agnico Eagle Mines Limited,NYSE,22-05-20
AEMD,EOD/AEMD,Aethlon Medical Inc.,NASDAQ,22-05-20
AEO,EOD/AEO,American Eagle Outfitters Inc.,NYSE,22-05-20
AEP,EOD/AEP,American Electric Power Company Inc.,NYSE,22-05-20
AEP.P.B,EOD/AEP_P_B,American Electric Power Company Inc. Corporate Unit,NYSE,22-05-20
AER,EOD/AER,AerCap Holdings N.V.,NYSE,22-05-20
AERI,EOD/AERI,Aerie Pharmaceuticals Inc.,NASDAQ,22-05-20
AES,EOD/AES,The AES Corporation,NYSE,22-05-20
AESE,EOD/AESE,"Allied Esports Entertainment Inc,",NASDAQ,22-05-20
AEY,EOD/AEY,ADDvantage Technologies Group Inc.,NASDAQ,22-05-20
AEYE,EOD/AEYE,AudioEye Inc.,NASDAQ,22-05-20
AEZS,EOD/AEZS,Aeterna Zentaris Inc.,NASDAQ,22-05-20
AFB,EOD/AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,22-05-20
AFC,EOD/AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,NYSE,22-05-20
AFG,EOD/AFG,American Financial Group Inc.,NYSE,22-05-20
AFGB,EOD/AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,NYSE,22-05-20
AFGC,EOD/AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,NYSE,22-05-20
AFGH,EOD/AFGH,American Financial Group Inc. 6% Subordinated Debentures due 2055,NYSE,22-05-20
AFH,EOD/AFH,Atlas Financial Holdings Inc.,NASDAQ,22-05-20
AFI,EOD/AFI,Armstrong Flooring Inc.,NYSE,22-05-20
AFIN,EOD/AFIN,American Finance Trust Inc.,NASDAQ,22-05-20
AFINP,EOD/AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,NASDAQ,22-05-20
AFK,EOD/AFK,VanEck Vectors-Africa Index,NYSE Arca,22-05-20
AFL,EOD/AFL,AFLAC Incorporated,NYSE,22-05-20
AFLG,EOD/AFLG,First Trust Active Factor Large Cap,NYSE Arca,22-05-20
AFMC,EOD/AFMC,First Trust Active Factor Mid Cap,NYSE Arca,22-05-20
AFMD,EOD/AFMD,Affimed N.V.,NASDAQ,22-05-20
AFSM,EOD/AFSM,First Trust Active Factor Small Cap,NYSE Arca,22-05-20
AFT,EOD/AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,22-05-20
AFTY,EOD/AFTY,Pacer CSOP FTSE China A50,NYSE Arca,22-05-20
AFYA,EOD/AFYA,Afya Limited,NASDAQ,22-05-20
AG,EOD/AG,First Majestic Silver Corp. (Canada),NYSE,22-05-20
AGBA,EOD/AGBA,AGBA Acquisition Limited,NASDAQ,20-05-20
AGBAR,EOD/AGBAR,AGBA Acquisition Limited Right,NASDAQ,18-05-20
AGBAU,EOD/AGBAU,AGBA Acquisition Limited Unit,NASDAQ,07-05-20
AGBAW,EOD/AGBAW,AGBA Acquisition Limited Warrant,NASDAQ,22-05-20
AGCO,EOD/AGCO,AGCO Corporation,NYSE,22-05-20
AGD,EOD/AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,22-05-20
AGE,EOD/AGE,AgeX Therapeutics Inc.,NYSE MKT,22-05-20
AGEN,EOD/AGEN,Agenus Inc.,NASDAQ,22-05-20
AGFS,EOD/AGFS,AgroFresh Solutions Inc.,NASDAQ,22-05-20
AGFSW,EOD/AGFSW,AgroFresh Solutions Inc. Warrants,NASDAQ,22-05-20
AGG,EOD/AGG,iShares Core U.S. Aggregate Bond,NYSE Arca,22-05-20
AGGP,EOD/AGGP,IQ Enhanced Core Plus Bond U.S.,NYSE Arca,22-05-20
AGGY,EOD/AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,NYSE Arca,22-05-20
AGI,EOD/AGI,Alamos Gold Inc. Class A,NYSE,22-05-20
AGIO,EOD/AGIO,Agios Pharmaceuticals Inc.,NASDAQ,22-05-20
AGLE,EOD/AGLE,Aeglea BioTherapeutics Inc.,NASDAQ,22-05-20
AGM,EOD/AGM,Federal Agricultural Mortgage Corporation,NYSE,22-05-20
AGM.A,EOD/AGM_A,Federal Agricultural Mortgage Corporation,NYSE,22-05-20
AGM.P.A,EOD/AGM_P_A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,NYSE,22-05-20
AGM.P.C,EOD/AGM_P_C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,22-05-20
AGM.P.D,EOD/AGM_P_D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,NYSE,22-05-20
AGMH,EOD/AGMH,AGM Group Holdings Inc.,NASDAQ,22-05-20
AGN,EOD/AGN,Allergan plc,NYSE,08-05-20
AGNC,EOD/AGNC,AGNC Investment Corp.,NASDAQ,22-05-20
AGNCM,EOD/AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,22-05-20
AGNCN,EOD/AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,NASDAQ,22-05-20
AGNCO,EOD/AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,22-05-20
AGNCP,EOD/AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferr,NASDAQ,22-05-20
AGND,EOD/AGND,WisdomTree Barclays U.S. Aggregate Bond Negative D,NASDAQ,22-05-20
AGO,EOD/AGO,Assured Guaranty Ltd.,NYSE,22-05-20
AGO.P.B,EOD/AGO_P_B,Assured Guaranty Ltd.,NYSE,22-05-20
AGO.P.E,EOD/AGO_P_E,Assured Guaranty Ltd.,NYSE,22-05-20
AGO.P.F,EOD/AGO_P_F,Assured Guaranty Ltd.,NYSE,22-05-20
AGQ,EOD/AGQ,ProShares Ultra Silver,NYSE Arca,22-05-20
AGR,EOD/AGR,Avangrid Inc.,NYSE,22-05-20
AGRO,EOD/AGRO,Adecoagro S.A.,NYSE,22-05-20
AGRX,EOD/AGRX,Agile Therapeutics Inc.,NASDAQ,22-05-20
AGS,EOD/AGS,PlayAGS Inc.,NYSE,22-05-20
AGTC,EOD/AGTC,Applied Genetic Technologies Corporation,NASDAQ,22-05-20
AGX,EOD/AGX,Argan Inc.,NYSE,22-05-20
AGYS,EOD/AGYS,Agilysys Inc.,NASDAQ,22-05-20
AGZ,EOD/AGZ,iShares Agency Bond,NYSE Arca,22-05-20
AGZD,EOD/AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,NASDAQ,22-05-20
AHC,EOD/AHC,A.H. Belo Corporation (TX),NYSE,22-05-20
AHCO,EOD/AHCO,AdaptHealth Corp.,NASDAQ,22-05-20
AHH,EOD/AHH,Armada Hoffler Properties Inc.,NYSE,22-05-20
AHH.P.A,EOD/AHH_P_A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,NYSE,22-05-20
AHL.P.C,EOD/AHL_P_C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,NYSE,22-05-20
AHL.P.D,EOD/AHL_P_D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,NYSE,22-05-20
AHL.P.E,EOD/AHL_P_E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,NYSE,22-05-20
AHPI,EOD/AHPI,Allied Healthcare Products Inc.,NASDAQ,22-05-20
AHT,EOD/AHT,Ashford Hospitality Trust Inc,NYSE,22-05-20
AHT.P.D,EOD/AHT_P_D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,NYSE,22-05-20
AHT.P.F,EOD/AHT_P_F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,NYSE,22-05-20
AHT.P.G,EOD/AHT_P_G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,NYSE,22-05-20
AHT.P.H,EOD/AHT_P_H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,NYSE,22-05-20
AHT.P.I,EOD/AHT_P_I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,NYSE,22-05-20
AI,EOD/AI,Arlington Asset Investment Corp Class A (new),NYSE,22-05-20
AI.P.B,EOD/AI_P_B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,NYSE,22-05-20
AI.P.C,EOD/AI_P_C,Arlington Asset Investment Corp 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE,22-05-20
AIA,EOD/AIA,iShares Asia 50 ETF,NYSE Arca,22-05-20
AIC,EOD/AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,NYSE,22-05-20
AIEQ,EOD/AIEQ,AI Powered Equity,NYSE Arca,22-05-20
AIF,EOD/AIF,Apollo Tactical Income Fund Inc.,NYSE,22-05-20
AIG,EOD/AIG,American International Group Inc.,NYSE,22-05-20
AIG.P.A,EOD/AIG_P_A,American International Group Inc. Depositary Shares Series A,NYSE,22-05-20
AIG.WS,EOD/AIG_WS,American International Group Inc. Warrant expiring January 19 2021,NYSE,22-05-20
AIH,EOD/AIH,Aesthetic Medical International Holdings Group Ltd.,NASDAQ,22-05-20
AIHS,EOD/AIHS,Senmiao Technology Limited,NASDAQ,22-05-20
AIIQ,EOD/AIIQ,AI Powered International Equity,NYSE Arca,22-05-20
AIKI,EOD/AIKI,AIkido Pharma Inc.,NASDAQ,22-05-20
AIM,EOD/AIM,AIM ImmunoTech Inc.,NYSE MKT,22-05-20
AIMC,EOD/AIMC,Altra Industrial Motion Corp.,NASDAQ,22-05-20
AIMT,EOD/AIMT,Aimmune Therapeutics Inc.,NASDAQ,22-05-20
AIN,EOD/AIN,Albany International Corporation,NYSE,22-05-20
AINC,EOD/AINC,Ashford Inc. (Holding Company),NYSE MKT,22-05-20
AINV,EOD/AINV,Apollo Investment Corporation,NASDAQ,22-05-20
AIO,EOD/AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund,NYSE,22-05-20
AIQ,EOD/AIQ,Global X Future Analytics Tech ETF,NASDAQ,22-05-20
AIR,EOD/AIR,AAR Corp.,NYSE,22-05-20
AIRG,EOD/AIRG,Airgain Inc.,NASDAQ,22-05-20
AIRI,EOD/AIRI,Air Industries Group,NYSE MKT,22-05-20
AIRR,EOD/AIRR,First Trust RBA American Industrial Renaissance ET,NASDAQ,22-05-20
AIRT,EOD/AIRT,Air T Inc.,NASDAQ,22-05-20
AIRTP,EOD/AIRTP,Air T Inc. Trust Preferred Securities,NASDAQ,22-05-20
AIRTW,EOD/AIRTW,Air T Inc. Air T Funding Warrants to Purchase Trust Preferred,NASDAQ,21-05-20
AIT,EOD/AIT,Applied Industrial Technologies Inc.,NYSE,22-05-20
AIV,EOD/AIV,Apartment Investment and Management Company,NYSE,22-05-20
AIW,EOD/AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,NYSE,22-05-20
AIZ,EOD/AIZ,Assurant Inc.,NYSE,22-05-20
AIZP,EOD/AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,NYSE,22-05-20
AJG,EOD/AJG,Arthur J. Gallagher & Co.,NYSE,22-05-20
AJRD,EOD/AJRD,Aerojet Rocketdyne Holdings Inc.,NYSE,22-05-20
AJX,EOD/AJX,Great Ajax Corp.,NYSE,22-05-20
AJXA,EOD/AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,NYSE,22-05-20
AKAM,EOD/AKAM,Akamai Technologies Inc.,NASDAQ,22-05-20
AKBA,EOD/AKBA,Akebia Therapeutics Inc.,NASDAQ,22-05-20
AKCA,EOD/AKCA,Akcea Therapeutics Inc.,NASDAQ,22-05-20
AKER,EOD/AKER,Akers Biosciences Inc.,NASDAQ,22-05-20
AKO.A,EOD/AKO_A,Embotelladora Andina S.A.,NYSE,22-05-20
AKO.B,EOD/AKO_B,Embotelladora Andina S.A.,NYSE,22-05-20
AKR,EOD/AKR,Acadia Realty Trust,NYSE,22-05-20
AKRO,EOD/AKRO,Akero Therapeutics Inc.,NASDAQ,22-05-20
AKRX,EOD/AKRX,Akorn Inc.,NASDAQ,22-05-20
AKTS,EOD/AKTS,Akoustis Technologies Inc.,NASDAQ,22-05-20
AKTX,EOD/AKTX,Akari Therapeutics Plc,NASDAQ,22-05-20
AL,EOD/AL,Air Lease Corporation Class A,NYSE,22-05-20
AL.P.A,EOD/AL_P_A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,NYSE,22-05-20
ALAC,EOD/ALAC,Alberton Acquisition Corporation,NASDAQ,22-05-20
ALACR,EOD/ALACR,Alberton Acquisition Corporation Rights,NASDAQ,22-05-20
ALACU,EOD/ALACU,Alberton Acquisition Corporation Unit,NASDAQ,06-05-20
ALACW,EOD/ALACW,Alberton Acquisition Corporation Warrant,NASDAQ,22-05-20
ALB,EOD/ALB,Albemarle Corporation,NYSE,22-05-20
ALBO,EOD/ALBO,Albireo Pharma Inc.,NASDAQ,22-05-20
ALC,EOD/ALC,Alcon Inc.,NYSE,22-05-20
ALCO,EOD/ALCO,Alico Inc.,NASDAQ,22-05-20
ALDX,EOD/ALDX,Aldeyra Therapeutics Inc.,NASDAQ,22-05-20
ALE,EOD/ALE,Allete Inc.,NYSE,22-05-20
ALEC,EOD/ALEC,Alector Inc.,NASDAQ,22-05-20
ALEX,EOD/ALEX,Alexander & Baldwin Inc. REIT Holding Company,NYSE,22-05-20
ALG,EOD/ALG,Alamo Group Inc.,NYSE,22-05-20
ALGN,EOD/ALGN,Align Technology Inc.,NASDAQ,22-05-20
ALGR,EOD/ALGR,Allegro Merger Corp.,NASDAQ,20-04-20
ALGRR,EOD/ALGRR,Allegro Merger Corp. Right,NASDAQ,20-04-20
ALGRU,EOD/ALGRU,Allegro Merger Corp. Unit,NASDAQ,17-04-20
ALGRW,EOD/ALGRW,Allegro Merger Corp. Warrant,NASDAQ,20-04-20
ALGT,EOD/ALGT,Allegiant Travel Company,NASDAQ,22-05-20
ALIM,EOD/ALIM,Alimera Sciences Inc.,NASDAQ,22-05-20
ALIN.P.A,EOD/ALIN_P_A,Altera Infrastructure L.P. 7.25% Series A,NYSE,22-05-20
ALIN.P.B,EOD/ALIN_P_B,Altera Infrastructure L.P. 8.50% Series B,NYSE,22-05-20
ALIN.P.E,EOD/ALIN_P_E,Altera Infrastructure L.P. 8.875% Series E,NYSE,22-05-20
ALJJ,EOD/ALJJ,ALJ Regional Holdings Inc.,NASDAQ,22-05-20
ALK,EOD/ALK,Alaska Air Group Inc.,NYSE,22-05-20
ALKS,EOD/ALKS,Alkermes plc,NASDAQ,22-05-20
ALL,EOD/ALL,Allstate Corporation (The),NYSE,22-05-20
ALL.P.B,EOD/ALL_P_B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,NYSE,22-05-20
ALL.P.G,EOD/ALL_P_G,Allstate Corporation (The) Depositary Shares Series G,NYSE,22-05-20
ALL.P.H,EOD/ALL_P_H,Allstate Corporation (The) Depositary Shares Series H,NYSE,22-05-20
ALL.P.I,EOD/ALL_P_I,Allstate Corporation (The) Depositary Shares Series I,NYSE,22-05-20
ALLE,EOD/ALLE,Allegion plc,NYSE,22-05-20
ALLK,EOD/ALLK,Allakos Inc.,NASDAQ,22-05-20
ALLO,EOD/ALLO,Allogene Therapeutics Inc.,NASDAQ,22-05-20
ALLT,EOD/ALLT,Allot Ltd.,NASDAQ,22-05-20
ALLY,EOD/ALLY,Ally Financial Inc.,NYSE,22-05-20
ALLY.P.A,EOD/ALLY_P_A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,NYSE,22-05-20
ALNA,EOD/ALNA,Allena Pharmaceuticals Inc.,NASDAQ,22-05-20
ALNY,EOD/ALNY,Alnylam Pharmaceuticals Inc.,NASDAQ,22-05-20
ALO,EOD/ALO,Alio Gold Inc. (Canada),NYSE MKT,22-05-20
ALOT,EOD/ALOT,AstroNova Inc.,NASDAQ,22-05-20
ALP.P.Q,EOD/ALP_P_Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),NYSE,22-05-20
ALPN,EOD/ALPN,Alpine Immune Sciences Inc.,NASDAQ,22-05-20
ALRM,EOD/ALRM,Alarm.com Holdings Inc.,NASDAQ,22-05-20
ALRN,EOD/ALRN,Aileron Therapeutics Inc.,NASDAQ,22-05-20
ALRS,EOD/ALRS,Alerus Financial Corporation,NASDAQ,22-05-20
ALSK,EOD/ALSK,Alaska Communications Systems Group Inc.,NASDAQ,22-05-20
ALSN,EOD/ALSN,Allison Transmission Holdings Inc.,NYSE,22-05-20
ALT,EOD/ALT,Altimmune Inc.,NYSE MKT,22-05-20
ALTG,EOD/ALTG,Alta Equipment Group Inc. Class A,NYSE,22-05-20
ALTG.WS,EOD/ALTG_WS,Alta Equipment Group Inc. Warrants,NYSE,22-05-20
ALTM,EOD/ALTM,Altus Midstream Company,NASDAQ,22-05-20
ALTR,EOD/ALTR,Altair Engineering Inc.,NASDAQ,22-05-20
ALTY,EOD/ALTY,Global X SuperDividend Alternatives ETF,NASDAQ,22-05-20
ALUS,EOD/ALUS,Alussa Energy Acquisition Corp - Ordinary Shares - Class A,NYSE,22-05-20
